image_id,trajectory,dino_warmup_steps,nima_warmup_steps,final_loss_clip,final_loss_dino,final_loss_nima_jsd,nima_entry_value,nima_improvement,final_loss_total,clip_improvement_p2,dino_improvement_total,final_w_clip,final_w_dino,final_w_nima,final_grad_alignment_clip_dino
857228,0,100,400,0.0047092437744140625,0.003571152687072754,0.008516998961567879,0.01639271154999733,0.007875712588429451,-3.7494418621063232,0.17646145820617676,0.6909072399139404,16.0,16.0,11.111111640930176,0.1014469563961029
857228,1,100,400,0.0038532614707946777,0.00409311056137085,0.007937520742416382,0.015838373452425003,0.007900852710008621,-3.7612249851226807,0.28164952993392944,0.789470374584198,16.0,16.0,11.111111640930176,0.200969398021698
857228,2,100,400,0.005240261554718018,0.004488825798034668,0.008589609526097775,0.0154964504763484,0.006906840950250626,-3.7254559993743896,0.24858200550079346,0.9773800373077393,16.0,16.0,11.111111640930176,0.48810482025146484
228928,0,100,400,0.0015592575073242188,0.002550363540649414,0.0029520466923713684,0.6380159854888916,0.6350639387965202,-3.878007173538208,0.09046852588653564,0.9586083889007568,16.0,16.0,11.111111640930176,0.02023768424987793
228928,1,100,400,0.0010025501251220703,0.001613020896911621,0.002134067937731743,0.005251729860901833,0.0031176619231700897,-3.9110004901885986,0.08067303895950317,0.9537349343299866,16.0,16.0,11.111111640930176,0.3012319803237915
228928,2,100,400,0.001145482063293457,0.001119375228881836,0.0024145925417542458,0.014614074490964413,0.012199481949210167,-3.9134950637817383,0.09689277410507202,0.9642736315727234,16.0,16.0,11.111111640930176,-0.18682339787483215
33753,0,100,400,0.011428117752075195,0.006661117076873779,0.005235319025814533,0.009223327971994877,0.003988008946180344,-3.6289634704589844,0.27426254749298096,1.0080004334449768,16.0,16.0,11.111111640930176,0.30384060740470886
33753,1,100,400,0.011418581008911133,0.0036247968673706055,0.006177476607263088,0.014795264229178429,0.00861778762191534,-3.667228937149048,0.1481001377105713,0.9615204930305481,16.0,16.0,11.111111640930176,0.04245169460773468
33753,2,100,400,0.009881436824798584,0.005087494850158691,0.005645583383738995,0.0191782359033823,0.013532652519643307,-3.674329996109009,0.16937255859375,0.9817813038825989,16.0,16.0,11.111111640930176,0.11107558757066727
854398,0,100,400,0.0007284879684448242,0.0004838705062866211,0.003088679164648056,0.002704732120037079,-0.00038394704461097717,-3.9228451251983643,0.16041547060012817,0.8617763519287109,16.0,16.0,11.111111640930176,-0.06369608640670776
854398,1,100,400,0.0006525516510009766,0.00046432018280029297,0.0031895823776721954,0.005237758159637451,0.0020481757819652557,-3.9232518672943115,0.055081188678741455,0.7933351397514343,16.0,16.0,11.111111640930176,0.009269598871469498
854398,2,100,400,0.00039446353912353516,0.00028270483016967773,0.00253971666097641,0.002896718680858612,0.00035700201988220215,-3.9375078678131104,0.1164015531539917,0.976702868938446,16.0,16.0,11.111111640930176,0.08788865804672241
518216,0,100,400,0.004488229751586914,0.0024070143699645996,0.00449720025062561,0.012837173417210579,0.008339973166584969,-3.8162686824798584,0.2345191240310669,0.9464817643165588,16.0,16.0,11.111111640930176,0.26592355966567993
518216,1,100,400,0.010943949222564697,0.006818413734436035,0.0056757377460598946,0.020464885979890823,0.014789148233830929,-3.6292998790740967,0.22784209251403809,0.893397331237793,16.0,16.0,11.111111640930176,0.19652312994003296
518216,2,100,400,0.004691958427429199,0.0018390417098999023,0.004230567254126072,0.006437818519771099,0.002207251265645027,-3.825059175491333,0.22974026203155518,0.9634230732917786,16.0,16.0,11.111111640930176,0.03685743361711502
